,id_city,city_name,dens_pop
2267,01334,Saint-André-d'Huiriat,73.11
2275,01335,Saint-André-le-Bouchoux,43.13
2283,01336,Saint-André-sur-Vieux-Jonc,48.47
2291,01337,Saint-Bénigne,79.5
2299,01338,Groslée-Saint-Benoit,42.43
2307,01339,Saint-Bernard,464.44
2315,01342,Sainte-Croix,52.17
2323,01343,Saint-Cyr-sur-Menthon,105.91
2331,01344,Saint-Denis-lès-Bourg,472.42
2339,01345,Saint-Denis-en-Bugey,868.2
2347,01346,Saint-Didier-d'Aussiat,56.37
2355,01347,Saint-Didier-de-Formans,311.64
2363,01348,Saint-Didier-sur-Chalaronne,117.61
2371,01349,Saint-Éloi,35.27
2379,01350,Saint-Étienne-du-Bois,89.57
2387,01351,Saint-Étienne-sur-Chalaronne,74.85
2395,01352,Saint-Étienne-sur-Reyssouze,42.19
2403,01353,Sainte-Euphémie,368.76
2411,01354,Saint-Genis-Pouilly,1427.12
2419,01355,Saint-Genis-sur-Menthon,42.08
2427,01356,Saint-Georges-sur-Renon,36.75
2435,01357,Saint-Germain-de-Joux,44.54
2443,01358,Saint-Germain-les-Paroisses,26.37
2451,01359,Saint-Germain-sur-Renon,15.57
2459,01360,Saint-Jean-de-Gonville,153.32
2467,01361,Saint-Jean-de-Niost,111.13
2475,01362,Saint-Jean-de-Thurigneux,49.12
2483,01363,Saint-Jean-le-Vieux,115.59
2491,01364,Saint-Jean-sur-Reyssouze,27.51
2499,01365,Saint-Jean-sur-Veyle,103.66
2507,01366,Sainte-Julie,97.04
2515,01367,Saint-Julien-sur-Reyssouze,99.2
2523,01368,Saint-Julien-sur-Veyle,85.16
2531,01369,Saint-Just,278.7
2539,01370,Saint-Laurent-sur-Saône,3184.91
2547,01371,Saint-Marcel,106.7
2555,01372,Saint-Martin-de-Bavel,52.24
2563,01373,Saint-Martin-du-Frêne,53.45
2571,01374,Saint-Martin-du-Mont,66.61
2579,01375,Saint-Martin-le-Châtel,61.24
2587,01376,Saint-Maurice-de-Beynost,566.81
2595,01378,Saint-Maurice-de-Gourdans,104.17
2603,01379,Saint-Maurice-de-Rémens,73.43
2611,01380,Saint-Nizier-le-Bouchoux,22.33
