id_city,id_reg,id_dep,city_name,dens_pop,density_degree,density_type,total_pop_2019,no_commute_pop,work_commute_perc
57281,44,57,Haboudange,23.43,6,"Rural à habitat dispersé",246,5.21152,97.8815
57282,44,57,Hagen,101.71,6,"Rural à habitat dispersé",357,15.1271,95.7627
57283,44,57,Hagondange,1688.55,2,"Centres urbains intermédiaires",9287,656.89,92.9268
57284,44,57,Hallering,31.83,6,"Rural à habitat dispersé",113,15,86.7257
57286,44,57,Halstroff,28.29,6,"Rural à habitat dispersé",305,NULL,NULL
57287,44,57,Basse-Ham,221.49,5,"Bourgs ruraux",2226,105.308,95.2692
57288,44,57,Ham-sous-Varsberg,436.14,4,"Ceintures urbaines",2848,150.235,94.7249
57289,44,57,Hambach,163.35,5,"Bourgs ruraux",2875,282.343,90.1794
57290,44,57,Hampont,16.03,6,"Rural à habitat dispersé",180,14.5946,91.8919
57291,44,57,Hangviller,58.19,6,"Rural à habitat dispersé",263,18.4088,93.0005
57292,44,57,Hannocourt,4.75,7,"Rural à habitat très dispersé",20,4.7619,76.1905
57293,44,57,Han-sur-Nied,127.72,6,"Rural à habitat dispersé",258,10.0389,96.1089
57294,44,57,Hanviller,22.86,6,"Rural à habitat dispersé",198,14.2788,92.7885
57295,44,57,Haraucourt-sur-Seille,13.12,6,"Rural à habitat dispersé",106,10.2913,90.2913
57296,44,57,Hargarten-aux-Mines,198.91,5,"Bourgs ruraux",1096,49.9778,95.44
57297,44,57,Harprich,20.84,6,"Rural à habitat dispersé",183,10,94.5355
57298,44,57,Harreberg,60.25,6,"Rural à habitat dispersé",382,10,97.3822
57299,44,57,Hartzviller,221.5,6,"Rural à habitat dispersé",917,35,96.1832
57300,44,57,Haselbourg,54.01,6,"Rural à habitat dispersé",330,5.26468,98.4046
57301,44,57,Haspelschiedt,12.06,6,"Rural à habitat dispersé",304,25.1341,91.7322
57302,44,57,Hattigny,14.38,6,"Rural à habitat dispersé",189,25.2674,86.631
57303,44,57,Hauconcourt,75.82,4,"Ceintures urbaines",599,40,93.3222
57304,44,57,Haut-Clocher,31.03,6,"Rural à habitat dispersé",355,10.1168,97.1502
57305,44,57,Havange,46.74,6,"Rural à habitat dispersé",451,21.4217,95.2502
57306,44,57,Hayange,1310.81,1,"Grands centres urbains",16005,1007.06,93.7078
57307,44,57,Hayes,20.77,6,"Rural à habitat dispersé",249,10,95.9839
57308,44,57,Hazembourg,86.63,6,"Rural à habitat dispersé",149,5,96.6443
57309,44,57,Heining-lès-Bouzonville,80.1,6,"Rural à habitat dispersé",483,20.2437,95.8088
57310,44,57,Hellering-lès-Fénétrange,46.91,6,"Rural à habitat dispersé",190,14.8438,92.1875
57311,44,57,Hellimer,50.58,6,"Rural à habitat dispersé",527,29.4911,94.404
