,id_city,id_reg,id_dep,city_name
68,01071,84,01,Cessy
69,01072,84,01,Ceyzériat
70,01073,84,01,Ceyzérieu
71,01074,84,01,Chalamont
72,01075,84,01,Chaleins
73,01076,84,01,Chaley
74,01077,84,01,Challes-la-Montagne
75,01078,84,01,Challex
76,01079,84,01,Champagne-en-Valromey
77,01080,84,01,Champdor-Corcelles
79,01081,84,01,Champfromier
80,01082,84,01,Chanay
81,01083,84,01,Chaneins
82,01084,84,01,Chanoz-Châtenay
83,01085,84,01,La Chapelle-du-Châtelard
84,01087,84,01,Charix
85,01088,84,01,Charnoz-sur-Ain
86,01089,84,01,Château-Gaillard
87,01090,84,01,Châtenay
89,01092,84,01,Châtillon-la-Palud
90,01093,84,01,Châtillon-sur-Chalaronne
91,01094,84,01,Chavannes-sur-Reyssouze
92,01095,84,01,Nivigne et Suran
94,01096,84,01,Chaveyriat
96,01098,84,01,Chazey-Bons
97,01099,84,01,Chazey-sur-Ain
98,01100,84,01,Cheignieu-la-Balme
99,01101,84,01,Chevillard
100,01102,84,01,Chevroux
101,01103,84,01,Chevry
102,01104,84,01,Chézery-Forens
103,01105,84,01,Civrieux
104,01106,84,01,Cize
105,01107,84,01,Cleyzieu
106,01108,84,01,Coligny
107,01109,84,01,Collonges
108,01110,84,01,Colomieu
109,01111,84,01,Conand
110,01112,84,01,Condamine
111,01113,84,01,Condeissiat
112,01114,84,01,Confort
113,01115,84,01,Confrançon
114,01116,84,01,Contrevoz
115,01117,84,01,Conzieu
116,01118,84,01,Corbonod
119,01121,84,01,Corlier
121,01123,84,01,Cormoranche-sur-Saône
122,01124,84,01,Cormoz
123,01125,84,01,Corveissiat
124,01127,84,01,Courmangoux
125,01128,84,01,Courtes
126,01129,84,01,Crans
127,01130,84,01,Bresse Vallons
129,01133,84,01,Cressin-Rochefort
130,01134,84,01,Crottet
131,01135,84,01,Crozet
132,01136,84,01,Cruzilles-lès-Mépillat
134,01138,84,01,Culoz
135,01139,84,01,Curciat-Dongalon
136,01140,84,01,Curtafond
137,01141,84,01,Cuzieu
138,01142,84,01,Dagneux
139,01143,84,01,Divonne-les-Bains
141,01145,84,01,Dompierre-sur-Veyle
142,01146,84,01,Dompierre-sur-Chalaronne
143,01147,84,01,Domsure
144,01148,84,01,Dortan
145,01149,84,01,Douvres
146,01150,84,01,Drom
147,01151,84,01,Druillat
148,01152,84,01,Échallon
149,01153,84,01,Échenevex
151,01155,84,01,Évosges
152,01156,84,01,Faramans
153,01157,84,01,Fareins
154,01158,84,01,Farges
155,01159,84,01,Feillens
156,01160,84,01,Ferney-Voltaire
157,01162,84,01,Flaxieu
158,01163,84,01,Foissiat
159,01165,84,01,Francheleins
160,01166,84,01,Frans
161,01167,84,01,Garnerans
162,01169,84,01,Genouilleux
163,01170,84,01,Béard-Géovreissiat
164,01171,84,01,Géovreisset
166,01173,84,01,Gex
167,01174,84,01,Giron
168,01175,84,01,Gorrevod
169,01177,84,01,Grand-Corent
170,01179,84,01,Grièges
171,01180,84,01,Grilly
172,01181,84,01,Groissiat
174,01183,84,01,Guéreins
175,01184,84,01,Hautecourt-Romanèche
176,01185,84,01,Plateau d'Hauteville
179,01187,84,01,Haut Valromey
180,01188,84,01,Illiat
181,01189,84,01,Injoux-Génissiat
182,01190,84,01,Innimond
183,01191,84,01,Izenave
184,01192,84,01,Izernore
185,01193,84,01,Izieu
186,01194,84,01,Jassans-Riottier
187,01195,84,01,Jasseron
188,01196,84,01,Jayat
189,01197,84,01,Journans
190,01198,84,01,Joyeux
191,01199,84,01,Jujurieux
192,01200,84,01,Labalme
193,01202,84,01,Lagnieu
194,01203,84,01,Laiz
195,01204,84,01,Le Poizat-Lalleyriat
198,01206,84,01,Lantenay
199,01207,84,01,Lapeyrouse
200,01208,84,01,Lavours
201,01209,84,01,Léaz
202,01210,84,01,Lélex
203,01211,84,01,Lent
204,01212,84,01,Lescheroux
205,01213,84,01,Leyment
206,01214,84,01,Leyssard
207,01215,84,01,Surjoux-Lhopital
209,01216,84,01,Lhuis
211,01219,84,01,Lompnas
213,01224,84,01,Loyettes
214,01225,84,01,Lurcy
215,01227,84,01,Magnieu
216,01228,84,01,Maillat
217,01229,84,01,Malafretaz
218,01230,84,01,Mantenay-Montlin
219,01231,84,01,Manziat
220,01232,84,01,Marboz
221,01233,84,01,Marchamp
222,01234,84,01,Marignieu
223,01235,84,01,Marlieux
224,01236,84,01,Marsonnas
225,01237,84,01,Martignat
226,01238,84,01,Massieux
227,01239,84,01,Massignieu-de-Rives
228,01240,84,01,Matafelon-Granges
229,01241,84,01,Meillonnas
230,01242,84,01,Mérignat
231,01243,84,01,Messimy-sur-Saône
232,01244,84,01,Meximieux
233,01245,84,01,Bohas-Meyriat-Rignat
234,01246,84,01,Mézériat
235,01247,84,01,Mijoux
236,01248,84,01,Mionnay
237,01249,84,01,Miribel
238,01250,84,01,Misérieux
239,01252,84,01,Mogneneins
240,01254,84,01,Montagnat
241,01255,84,01,Montagnieu
242,01257,84,01,Montanges
243,01258,84,01,Montceaux
244,01259,84,01,Montcet
245,01260,84,01,Le Montellier
246,01261,84,01,Monthieux
247,01262,84,01,Montluel
248,01263,84,01,Montmerle-sur-Saône
249,01264,84,01,Montracol
250,01265,84,01,Montréal-la-Cluse
251,01266,84,01,Montrevel-en-Bresse
252,01267,84,01,Nurieux-Volognat
253,01268,84,01,Murs-et-Gélignieux
