,city_name,id_city,no_commute_pop
11461,Saint-Jean-de-Niost,01361,135.0
11509,Saint-Jean-de-Thurigneux,01362,55.6787793581093
11559,Saint-Jean-le-Vieux,01363,185.0
11599,Saint-Jean-sur-Reyssouze,01364,85.776826642674
11631,Saint-Jean-sur-Veyle,01365,93.2267610948731
11673,Sainte-Julie,01366,63.754616882009
11714,Saint-Julien-sur-Reyssouze,01367,96.3277251136827
11736,Saint-Julien-sur-Veyle,01368,71.778785286169
11766,Saint-Just,01369,40.5756332489584
11796,Saint-Laurent-sur-Saône,01370,84.4473646341245
11842,Saint-Marcel,01371,66.9557014212826
11893,Saint-Martin-de-Bavel,01372,20.304762380984
11920,Saint-Martin-du-Frêne,01373,86.1301845819749
11965,Saint-Martin-du-Mont,01374,116.856950433899
12008,Saint-Martin-le-Châtel,01375,50.0
12029,Saint-Maurice-de-Beynost,01376,310.210841975933
12103,Saint-Maurice-de-Gourdans,01378,173.195751724487
12172,Saint-Maurice-de-Rémens,01379,29.9212598425197
12196,Saint-Nizier-le-Bouchoux,01380,67.2807360520596
12224,Saint-Nizier-le-Désert,01381,75.7028964274752
12255,Sainte-Olive,01382,14.6626736427831
12289,Saint-Paul-de-Varax,01383,105.304737003393
12336,Saint-Rambert-en-Bugey,01384,240.0
12373,Saint-Rémy,01385,69.0867233221642
12394,Saint-Sorlin-en-Bugey,01386,58.4162775373582
12430,Saint-Sulpice,01387,20.0
12448,Saint-Trivier-de-Courtes,01388,141.395524694546
12489,Saint-Trivier-sur-Moignans,01389,155.261810920589
12539,Saint-Vulbas,01390,305.0
12570,Salavre,01391,29.7809863959565
12586,Samognat,01392,20.1345514882797
12602,Sandrans,01393,15.4396297651964
12637,Sault-Brénaz,01396,72.1980177807651
12663,Sauverny,01397,35.0
12705,Savigneux,01398,117.111413884712
12758,Ségny,01399,97.2165391505058
12796,Seillonnaz,01400,10.1459854014599
12809,Sergy,01401,88.2888184698956
12840,Sermoyer,01402,69.0303369831443
12870,Serrières-de-Briord,01403,93.912213740458
12897,Serrières-sur-Ain,01404,5.03731343283582
12923,Servas,01405,120.0
12940,Servignat,01406,10.0
12953,Seyssel,01407,75.0
12971,Seyssel,74269,45.0
12999,Simandre-sur-Suran,01408,74.9023482705809
13013,Sonthonnax-la-Montagne,01410,20.0
13040,Sulignat,01412,20.3207105181268
13060,Talissieu,01415,24.4593165419061
13081,Tenay,01416,59.1489960142894
13103,Thil,01418,84.3636678541784
13149,Thoiry,01419,489.30802311899
13221,Thoissey,01420,147.450658235241
13267,Torcieu,01421,65.0
13297,Tossiat,01422,128.817205441285
13322,Toussieux,01423,61.6944550641351
13377,Tramoyes,01424,127.544970589201
13430,La Tranclière,01425,25.3096602118846
13459,Val-Revermont,01426,360.984486160289
13512,Trévoux,01427,755.0
13612,Valeins,01428,5.0
13635,Vandeins,01429,20.3945747342754
13657,Varambon,01430,34.064465408805
13691,Vaux-en-Bugey,01431,90.8649398313072
13709,Verjon,01432,15.8819703895046
13721,Vernoux,01433,40.6873883017623
13743,Versailleux,01434,55.0
13773,Versonnex,01435,105.0
13811,Vesancy,01436,36.0982840014202
13833,Vescours,01437,10.0
13870,Vieu-d'Izenave,01441,72.5077872136384
13917,Villars-les-Dombes,01443,501.338846704341
13990,Villebois,01444,110.0
14019,Villemotier,01445,40.0
14050,Villeneuve,01446,116.747750901205
14122,Villereversure,01447,118.27655524113
14134,Villes,01448,20.0357775006978
14163,Villette-sur-Ain,01449,45.5856809974595
14214,Villieu-Loyes-Mollon,01450,306.658831877322
14306,Viriat,01451,847.652409477665
14353,Virieu-le-Grand,01452,100.0
14383,Arvière-en-Valromey,01453,123.631105234861
14410,Virignin,01454,45.0
14433,Vongnes,01456,15.0
14471,Vonnas,01457,390.223255226701
14503,Abbécourt,02001,14.9108910891089
14523,Achery,02002,45.3097428381473
14543,Acy,02003,92.6972217484113
14576,Agnicourt-et-Séchelles,02004,9.83783783783784
14585,Aguilcourt,02005,40.1377158916998
14598,Aisonville-et-Bernoville,02006,20.0
14609,Aizelles,02007,14.64
14619,Aizy-Jouy,02008,10.1383439809989
14639,Alaincourt,02009,29.8863300390029
14658,Allemant,02010,9.77401129943503
14667,Ambleny,02011,78.3400242556135
14709,Ambrief,02012,5.0
14715,Amifontaine,02013,35.0
14733,Amigny-Rouy,02014,45.3596614950636
14763,Andelain,02016,20.0
14772,Anguilcourt-le-Sart,02017,21.1134951977612
14788,Anizy-le-Grand,02018,247.429998325991
14836,Annois,02019,20.0269366594358
14851,Any-Martin-Rieux,02020,40.0
14870,Archon,02021,9.43820224719101
14874,Arcy-Sainte-Restitue,02022,35.4004508469684
14897,Arrancy,02024,4.81132075471698
14900,Artemps,02025,9.93875326165855
14918,Assis-sur-Serre,02027,20.0
14929,Athies-sous-Laon,02028,160.0
14979,Attilly,02029,20.0
14992,Aubencheul-aux-Bois,02030,14.9972322545129
15009,Aubenton,02031,95.3794196273732
15028,Aubigny-aux-Kaisnes,02032,25.0
15041,Aubigny-en-Laonnois,02033,9.90476190476191
15049,Audignicourt,02034,15.3813559322034
15059,Audigny,02035,30.0
15068,Augy,02036,15.0
15074,Aulnois-sous-Laon,02037,40.0
15102,Autremencourt,02039,15.3925871131873
15111,Autreppes,02040,25.2808988764045
15122,Autreville,02041,45.3180888871673
15144,Azy-sur-Marne,02042,44.5741067768
15161,Bancigny,02044,5.20833333333333
15165,Barenton-Bugny,02046,34.7292333194954
15184,Barenton-Cel,02047,23.0769230769231
15188,Barenton-sur-Serre,02048,5.11538461538461
15196,Barisis-aux-Bois,02049,20.1029331692163
15219,Barzy-en-Thiérache,02050,10.09375
15237,Barzy-sur-Marne,02051,50.0
15254,Bassoles-Aulers,02052,9.92647058823529
15263,Vallées en Champagne,02053,60.0963661380379
15288,Bazoches-et-Saint-Thibaut,02054,74.6573179840789
15302,Beaumé,02055,4.9438202247191
15306,Beaumont-en-Beine,02056,10.1129943502825
15316,Beaurevoir,02057,133.571770703494
15355,Beaurieux,02058,96.334058268339
15381,Beautor,02059,167.886665974073
15418,Beauvois-en-Vermandois,02060,39.8888817950964
15425,Becquigny,02061,9.83823310989767
15436,Belleau,02062,20.1470588235294
15442,Bellenglise,02063,19.8979650974856
15454,Belleu,02064,175.683505234045
15513,Bellicourt,02065,34.7171595363888
15531,Benay,02066,25.0
15537,Bergues-sur-Sambre,02067,20.0956937799043
15546,Berlancourt,02068,10.0
15552,Berlise,02069,4.90654205607477
15561,Bernot,02070,15.1360544217687
15579,Berny-Rivière,02071,50.8837891541972
15604,Berrieux,02072,14.6842105263158
15616,Berry-au-Bac,02073,41.2443368438699
15632,Bertaucourt-Epourdon,02074,35.0
15665,Bertricourt,02076,4.87179487179487
15669,Berzy-le-Sec,02077,19.6772054885649
15698,Besmont,02079,14.7039473684211
15704,Besny-et-Loizy,02080,5.0
15716,Béthancourt-en-Vaux,02081,13.7481977975059
15732,Beugneux,02082,9.90990990990991
15738,Beuvardes,02083,45.8660077624617
15771,Bézu-le-Guéry,02084,44.3705559702978
15790,Bézu-Saint-Germain,02085,44.7919332426952
15835,Bichancourt,02086,70.0
15866,Bièvres,02088,10.952380952381
15876,Billy-sur-Aisne,02089,35.0132785465388
15906,Billy-sur-Ourcq,02090,19.1666666666667
