,id_city,city_name,density_degree,density_type,total_pop_2019
175,01204,Le Poizat-Lalleyriat,6,Rural à habitat dispersé,735
176,01206,Lantenay,6,Rural à habitat dispersé,277
177,01207,Lapeyrouse,6,Rural à habitat dispersé,317
178,01208,Lavours,6,Rural à habitat dispersé,131
179,01209,Léaz,6,Rural à habitat dispersé,778
180,01210,Lélex,6,Rural à habitat dispersé,228
181,01211,Lent,5,Bourgs ruraux,1395
182,01212,Lescheroux,6,Rural à habitat dispersé,718
183,01213,Leyment,6,Rural à habitat dispersé,1341
184,01214,Leyssard,7,Rural à habitat très dispersé,158
185,01215,Surjoux-Lhopital,7,Rural à habitat très dispersé,140
186,01216,Lhuis,6,Rural à habitat dispersé,894
187,01219,Lompnas,6,Rural à habitat dispersé,164
188,01224,Loyettes,4,Ceintures urbaines,3225
189,01225,Lurcy,6,Rural à habitat dispersé,372
190,01227,Magnieu,6,Rural à habitat dispersé,643
191,01228,Maillat,5,Bourgs ruraux,660
192,01229,Malafretaz,6,Rural à habitat dispersé,1235
193,01230,Mantenay-Montlin,7,Rural à habitat très dispersé,312
194,01231,Manziat,5,Bourgs ruraux,1948
195,01232,Marboz,6,Rural à habitat dispersé,2276
196,01233,Marchamp,6,Rural à habitat dispersé,130
197,01234,Marignieu,6,Rural à habitat dispersé,169
198,01235,Marlieux,5,Bourgs ruraux,1159
199,01236,Marsonnas,6,Rural à habitat dispersé,1011
200,01237,Martignat,5,Bourgs ruraux,1667
201,01238,Massieux,4,Ceintures urbaines,2670
202,01239,Massignieu-de-Rives,6,Rural à habitat dispersé,620
203,01240,Matafelon-Granges,6,Rural à habitat dispersé,627
204,01241,Meillonnas,6,Rural à habitat dispersé,1356
205,01242,Mérignat,6,Rural à habitat dispersé,135
206,01243,Messimy-sur-Saône,5,Bourgs ruraux,1253
207,01244,Meximieux,2,Centres urbains intermédiaires,7923
208,01245,Bohas-Meyriat-Rignat,6,Rural à habitat dispersé,943
209,01246,Mézériat,5,Bourgs ruraux,2217
210,01247,Mijoux,6,Rural à habitat dispersé,312
211,01248,Mionnay,5,Bourgs ruraux,2197
212,01249,Miribel,4,Ceintures urbaines,10122
213,01250,Misérieux,4,Ceintures urbaines,1974
214,01252,Mogneneins,6,Rural à habitat dispersé,786
215,01254,Montagnat,5,Bourgs ruraux,2116
216,01255,Montagnieu,6,Rural à habitat dispersé,647
217,01257,Montanges,6,Rural à habitat dispersé,351
218,01258,Montceaux,5,Bourgs ruraux,1190
219,01259,Montcet,6,Rural à habitat dispersé,702
220,01260,Le Montellier,7,Rural à habitat très dispersé,302
221,01261,Monthieux,5,Bourgs ruraux,668
222,01262,Montluel,2,Centres urbains intermédiaires,6886
223,01263,Montmerle-sur-Saône,4,Ceintures urbaines,3772
224,01264,Montracol,5,Bourgs ruraux,1016
225,01265,Montréal-la-Cluse,3,Petites villes,3456
226,01266,Montrevel-en-Bresse,5,Bourgs ruraux,2576
227,01267,Nurieux-Volognat,6,Rural à habitat dispersé,1025
228,01268,Murs-et-Gélignieux,7,Rural à habitat très dispersé,246
229,01269,Nantua,5,Bourgs ruraux,3454
230,01272,Neuville-les-Dames,5,Bourgs ruraux,1500
231,01273,Neuville-sur-Ain,6,Rural à habitat dispersé,1800
232,01274,Les Neyrolles,5,Bourgs ruraux,645
233,01275,Neyron,4,Ceintures urbaines,2569
234,01276,Niévroz,5,Bourgs ruraux,1624
235,01277,Nivollet-Montgriffon,7,Rural à habitat très dispersé,117
236,01279,Oncieu,6,Rural à habitat dispersé,80
237,01280,Ordonnaz,6,Rural à habitat dispersé,138
238,01281,Ornex,4,Ceintures urbaines,4483
239,01282,Outriaz,6,Rural à habitat dispersé,258
240,01283,Oyonnax,2,Centres urbains intermédiaires,22456
241,01284,Ozan,6,Rural à habitat dispersé,694
242,01285,Parcieux,4,Ceintures urbaines,1229
243,01286,Parves et Nattages,6,Rural à habitat dispersé,951
244,01288,Péron,5,Bourgs ruraux,2717
245,01289,Péronnas,4,Ceintures urbaines,6520
246,01290,Pérouges,6,Rural à habitat dispersé,1273
247,01291,Perrex,6,Rural à habitat dispersé,842
248,01293,Peyriat,6,Rural à habitat dispersé,148
249,01294,Peyrieu,6,Rural à habitat dispersé,886
