journey_id,time,journey_start_lon,journey_start_lat,cluster
7722483,15:50:00,2.346,48.835,11
7743026,15:50:00,2.386,48.742,1
7745476,15:50:00,2.853,48.883,16
7745609,15:50:00,2.608,48.802,6
7780981,15:50:00,2.182,48.859,8
7721983,15:50:00,2.353,48.813,11
7745518,15:50:00,2.671,49.072,13
7745542,15:50:00,2.559,48.523,24
7745471,15:50:00,2.853,48.883,16
7745477,15:50:00,2.853,48.883,16
7780980,15:50:00,2.037,48.941,28
7780979,15:50:00,2.295,48.943,25
7780983,15:50:00,2.184,48.861,8
7780969,15:50:00,2.217,48.781,22
7743659,15:50:00,2.386,48.742,1
7721985,15:50:00,2.313,48.925,25
7721977,15:50:00,2.353,48.813,11
7721979,15:50:00,2.214,49.037,3
7745572,15:50:00,2.511,49.007,18
7745571,15:50:00,2.365,48.818,11
7745599,15:50:00,2.795,48.872,0
7722544,15:50:00,2.348,48.833,11
7722499,15:50:00,2.35,48.834,11
7722029,15:50:00,2.516,48.921,18
7745531,15:50:00,2.041,48.934,28
7722300,15:50:00,2.234,48.95,3
7780986,15:50:00,2.282,48.822,22
7745604,15:50:00,2.796,48.871,0
7743808,16:00:00,2.281,48.824,22
7722509,16:00:00,2.362,48.928,25
7722008,16:00:00,2.281,48.824,22
7721996,16:00:00,2.28,48.82,22
7722700,16:00:00,2.348,48.833,11
7743802,16:00:00,2.281,48.821,22
7722235,16:00:00,2.516,48.921,18
7722315,16:00:00,2.234,48.95,3
7743028,16:00:00,2.383,48.744,1
7781024,16:00:00,2.234,48.778,22
7781000,16:00:00,2.377,48.752,1
7781001,16:00:00,2.616,48.822,6
7781006,16:00:00,2.343,48.809,11
7781017,16:00:00,2.217,48.986,3
7781019,16:00:00,2.246,48.778,22
7745622,16:00:00,2.116,48.887,28
7780992,16:00:00,2.282,48.822,22
7722281,16:00:00,2.082,48.728,26
7745598,16:00:00,2.406,48.804,1
7743040,16:00:00,2.469,48.959,18
7722756,16:00:00,2.348,48.833,11
7722001,16:00:00,2.544,48.908,18
7721989,16:00:00,1.975,48.788,2
7722282,16:00:00,2.082,48.728,26
7722260,16:00:00,2.35,48.768,1
7722450,16:00:00,2.117,48.887,28
7722510,16:00:00,2.362,48.928,25
7722823,16:00:00,2.198,48.897,8
7722507,16:00:00,2.362,48.928,25
7780996,16:00:00,2.038,48.929,28
7744433,16:00:00,2.268,48.911,25
7745624,16:00:00,2.165,48.863,14
7781020,16:00:00,2.178,48.893,8
7781016,16:00:00,2.255,48.845,22
7781037,16:00:00,2.265,48.905,8
7781005,16:00:00,2.222,48.774,22
7780987,16:00:00,2.3,48.828,22
7781029,16:00:00,1.832,48.517,21
7722755,16:00:00,2.348,48.833,11
7745614,16:00:00,1.83,48.643,21
7781008,16:00:00,1.98,48.774,2
7721994,16:10:00,2.75,48.87,0
7722345,16:10:00,2.336,48.808,11
7722622,16:10:00,2.69,48.531,24
7722573,16:10:00,2.358,48.832,11
7722578,16:10:00,2.357,48.833,11
7722413,16:10:00,2.532,48.845,6
7743035,16:10:00,2.466,48.958,18
7745610,16:10:00,2.21,48.785,22
7722493,16:10:00,2.236,48.895,8
7722429,16:10:00,2.236,48.895,8
7743038,16:10:00,2.404,48.814,11
7722539,16:10:00,2.239,48.895,8
7781054,16:10:00,2.62,48.84,6
7781056,16:10:00,2.62,48.84,6
7781055,16:10:00,2.343,48.758,1
7743036,16:10:00,2.403,48.816,11
7722641,16:10:00,2.207,48.786,22
7722635,16:10:00,2.206,48.785,22
7722538,16:10:00,2.238,48.896,8
7722529,16:10:00,2.239,48.896,8
7745635,16:10:00,2.4,48.783,1
7745634,16:10:00,2.4,48.783,1
7745640,16:10:00,2.672,48.828,6
7781057,16:10:00,2.443,48.954,27
7744693,16:10:00,2.314,48.733,1
7722276,16:10:00,2.701,49.058,13
7722536,16:10:00,2.239,48.895,8
7722403,16:10:00,2.532,48.845,6
7722244,16:10:00,2.365,48.82,11
7722402,16:10:00,2.532,48.845,6
7745613,16:10:00,2.21,48.785,22
7722428,16:10:00,2.236,48.895,8
7745617,16:10:00,2.21,48.785,22
7743374,16:10:00,2.353,48.812,11
7781052,16:10:00,2.62,48.84,6
7743041,16:10:00,2.403,48.816,11
7723668,16:10:00,2.217,48.774,22
7743020,16:10:00,2.353,48.812,11
7722554,16:10:00,2.4,48.784,1
7722552,16:10:00,2.4,48.784,1
7781048,16:10:00,2.232,48.932,8
7722527,16:10:00,2.238,48.896,8
7744604,16:10:00,2.217,48.772,22
7748883,16:10:00,2.454,48.794,17
7722246,16:10:00,2.365,48.82,11
7745660,16:10:00,2.429,48.851,27
7745645,16:10:00,2.553,48.628,4
7781063,16:10:00,2.814,48.272,23
7743046,16:10:00,2.59,48.835,6
7722448,16:10:00,2.672,48.828,6
7745626,16:10:00,2.692,48.4,23
7745641,16:10:00,2.672,48.828,6
7781059,16:10:00,2.387,48.951,5
7781047,16:10:00,2.232,48.932,8
7745643,16:10:00,2.553,48.628,4
7722261,16:10:00,2.386,48.824,11
7722535,16:10:00,2.239,48.895,8
7745652,16:10:00,2.553,48.628,4
7745676,16:20:00,2.97,48.368,23
7743831,16:20:00,2.349,48.741,1
7745638,16:20:00,2.656,48.528,24
7781102,16:20:00,1.978,48.797,2
7781099,16:20:00,2.461,48.789,17
7722592,16:20:00,2.486,48.836,17
7744561,16:20:00,2.692,48.533,24
7722255,16:20:00,2.41,48.967,5
7744555,16:20:00,2.678,48.534,24
7745404,16:20:00,2.345,48.798,1
7743234,16:20:00,2.795,48.501,23
7743049,16:20:00,2.51,48.973,18
7743237,16:20:00,2.795,48.501,23
7722368,16:20:00,2.429,48.851,27
7745611,16:20:00,2.255,48.874,8
7745650,16:20:00,2.701,49.059,13
7781092,16:20:00,2.325,48.82,11
7781090,16:20:00,2.287,48.832,22
7781089,16:20:00,2.326,48.753,1
7781081,16:20:00,2.077,48.768,26
7781077,16:20:00,2.209,48.781,22
7743959,16:20:00,2.342,48.76,1
7722628,16:20:00,2.349,48.741,1
7722328,16:20:00,2.342,48.757,1
7724060,16:20:00,2.766,48.866,0
7725554,16:20:00,2.198,48.898,8
7723618,16:20:00,2.318,48.842,11
7722629,16:20:00,2.349,48.741,1
7722625,16:20:00,2.349,48.741,1
7743039,16:20:00,2.232,48.835,22
7725588,16:20:00,2.199,48.897,8
7745633,16:20:00,2.429,48.851,27
7722371,16:20:00,2.429,48.851,27
7745661,16:20:00,2.429,48.851,27
7745619,16:20:00,2.409,48.796,1
